                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.76533,                0.70669,                 1.1576,                0.94249,                0.83209,                0.88664,                 0.6932,                0.91077,                0.80318,                  1.475,             0.00047306,             0.00047306,             0.00047306
                     60,                0.77533,                0.70181,                 1.1658,                0.92092,                0.83336,                0.87989,                0.67619,                0.95207,                 0.7869,                 1.5139,             0.00046206,             0.00046206,             0.00046206
                     61,                 0.7689,                0.68814,                 1.1712,                0.93137,                0.85048,                 0.8999,                0.70088,                0.90233,                0.77885,                 1.4647,             0.00045107,             0.00045107,             0.00045107
                     62,                0.74205,                0.67976,                 1.1529,                0.93382,                0.85553,                0.88364,                0.69711,                0.91063,                0.72983,                 1.4838,             0.00044007,             0.00044007,             0.00044007
                     63,                0.75511,                0.66927,                 1.1656,                0.94733,                0.84568,                0.89236,                0.71164,                0.87791,                0.79692,                 1.4406,             0.00042907,             0.00042907,             0.00042907
                     64,                0.72756,                0.64929,                 1.1537,                0.92744,                0.85467,                0.89855,                0.68715,                0.91516,                0.78342,                 1.4728,             0.00041807,             0.00041807,             0.00041807
                     65,                 0.7437,                0.69837,                 1.1555,                0.94702,                0.84699,                0.90473,                0.71702,                0.92426,                0.74795,                 1.5081,             0.00040707,             0.00040707,             0.00040707
                     66,                0.74686,                0.69116,                 1.1468,                0.93429,                0.84421,                 0.8942,                 0.7198,                0.89112,                0.78225,                 1.4509,             0.00039607,             0.00039607,             0.00039607
                     67,                 0.7136,                0.64418,                 1.1385,                0.93273,                0.82418,                0.89797,                0.71206,                0.88184,                 0.8134,                 1.4133,             0.00038507,             0.00038507,             0.00038507
                     68,                0.70365,                0.62959,                 1.1306,                0.94033,                0.83792,                0.90436,                0.71328,                0.86318,                 0.7857,                  1.422,             0.00037407,             0.00037407,             0.00037407
                     69,                0.72485,                0.65376,                 1.1365,                0.93861,                0.85912,                0.90029,                0.70972,                0.85255,                0.78531,                 1.4169,             0.00036307,             0.00036307,             0.00036307
                     70,                0.70429,                0.61724,                 1.1328,                 0.9121,                0.82887,                0.89073,                0.67317,                0.93532,                0.81369,                 1.4879,             0.00035208,             0.00035208,             0.00035208
                     71,                0.71148,                0.64674,                 1.1416,                0.92798,                0.87159,                0.92078,                0.70194,                0.88079,                0.65976,                 1.4276,             0.00034108,             0.00034108,             0.00034108
                     72,                0.69683,                0.61689,                 1.1261,                0.91917,                0.87926,                0.91405,                0.70937,                0.86231,                0.67265,                 1.4101,             0.00033008,             0.00033008,             0.00033008
                     73,                 0.7051,                0.64346,                  1.148,                0.94056,                 0.8449,                0.89286,                0.70716,                0.85396,                0.69759,                 1.4239,             0.00031908,             0.00031908,             0.00031908
                     74,                 0.7071,                0.63999,                 1.1426,                0.91137,                0.82565,                 0.8823,                0.71017,                0.87013,                0.69552,                 1.4567,             0.00030808,             0.00030808,             0.00030808
                     75,                0.70379,                0.61636,                 1.1301,                 0.9558,                0.85707,                    0.9,                0.71186,                0.92088,                0.65684,                 1.5004,             0.00029708,             0.00029708,             0.00029708
                     76,                0.71641,                0.62876,                 1.1333,                0.94744,                0.84877,                0.90628,                0.71335,                0.90012,                0.66747,                 1.4372,             0.00028608,             0.00028608,             0.00028608
                     77,                0.66111,                0.58418,                 1.1094,                0.94448,                0.83513,                0.88737,                0.68776,                0.95812,                0.68765,                 1.5266,             0.00027508,             0.00027508,             0.00027508
                     78,                0.69785,                0.62757,                 1.1321,                0.91867,                0.86027,                0.90548,                0.70573,                 0.9192,                0.65835,                 1.4681,             0.00026408,             0.00026408,             0.00026408
                     79,                0.69174,                0.62701,                 1.1261,                0.90207,                0.86841,                0.89776,                0.70627,                0.94244,                0.65356,                  1.519,             0.00025309,             0.00025309,             0.00025309
                     80,                0.66673,                 0.5871,                 1.1286,                0.94097,                0.84347,                0.90007,                0.70279,                0.93399,                 0.7193,                 1.5117,             0.00024209,             0.00024209,             0.00024209
                     81,                0.67029,                0.58659,                 1.1075,                0.92593,                0.85681,                0.90007,                0.68943,                0.89322,                0.73329,                 1.4809,             0.00023109,             0.00023109,             0.00023109
                     82,                 0.6648,                0.59284,                 1.1137,                0.93397,                0.85194,                0.90382,                0.69559,                0.94938,                0.71578,                 1.5246,             0.00022009,             0.00022009,             0.00022009
                     83,                0.66111,                0.58865,                 1.1142,                 0.9369,                 0.8547,                0.90336,                0.70715,                0.92488,                0.67458,                 1.4991,             0.00020909,             0.00020909,             0.00020909
                     84,                 0.6743,                0.59324,                 1.1103,                0.91512,                0.88037,                0.90161,                0.70764,                0.92208,                0.66425,                 1.4927,             0.00019809,             0.00019809,             0.00019809
                     85,                0.62328,                0.55424,                 1.0867,                0.90348,                 0.8697,                0.89665,                 0.7078,                0.92148,                0.66646,                 1.4968,             0.00018709,             0.00018709,             0.00018709
                     86,                0.65591,                0.58611,                 1.1033,                0.93648,                0.87671,                 0.9116,                0.71928,                0.92745,                0.66603,                 1.4964,             0.00017609,             0.00017609,             0.00017609
                     87,                0.63087,                0.55953,                 1.0925,                0.93018,                0.86908,                0.91242,                0.72021,                 0.9192,                 0.6314,                 1.4799,             0.00016509,             0.00016509,             0.00016509
                     88,                0.66186,                0.58308,                 1.1095,                 0.9327,                0.88634,                0.92255,                0.72485,                0.89896,                0.61685,                 1.4483,              0.0001541,              0.0001541,              0.0001541
                     89,                 0.6241,                0.53582,                 1.0859,                  0.953,                0.87391,                0.92203,                0.72658,                0.89377,                0.61437,                 1.4418,              0.0001431,              0.0001431,              0.0001431
                     90,                0.50519,                0.45117,                 1.0524,                0.94465,                0.86016,                0.90911,                0.70397,                0.89125,                0.67604,                 1.4969,              0.0001321,              0.0001321,              0.0001321
                     91,                0.47711,                0.38716,                 1.0145,                0.92866,                0.86787,                0.91123,                0.71601,                0.88971,                  0.658,                 1.4853,              0.0001211,              0.0001211,              0.0001211
                     92,                0.45479,                0.34073,                 1.0097,                 0.9283,                0.86963,                0.91292,                0.71063,                0.88979,                0.66244,                 1.4743,              0.0001101,              0.0001101,              0.0001101
                     93,                0.44294,                 0.3448,                 0.9829,                0.94293,                0.86315,                0.91677,                0.72963,                0.88966,                0.62986,                 1.4724,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.43792,                0.33761,                0.98684,                0.95809,                0.85207,                0.91495,                0.72461,                0.89562,                0.62515,                  1.479,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.43347,                0.33128,                0.97744,                0.95445,                0.85273,                0.91778,                 0.7329,                0.88545,                 0.6338,                  1.474,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.42403,                0.33083,                0.98803,                0.94411,                0.85688,                 0.9143,                0.73179,                 0.8751,                  0.642,                 1.4605,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.41187,                0.31328,                0.95852,                 0.9416,                0.85862,                0.91322,                0.73275,                0.87926,                0.65826,                 1.4597,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.42349,                0.32373,                0.97705,                0.94258,                0.85878,                 0.9151,                 0.7289,                  0.876,                0.64786,                 1.4588,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.41043,                0.32165,                0.95943,                0.94387,                0.86032,                0.91581,                0.73027,                0.88007,                0.64218,                 1.4625,             3.3108e-05,             3.3108e-05,             3.3108e-05
